Created with UCDetector 2.0.0	2021-02-08 14:18:53	http://www.ucdetector.org/	Created by class: org.ucdetector.report.TextReport	
CustomerSimulator.models.Store.TotPeopleInQueue(Store.java:157)	Change visibility of Method "Store.TotPeopleInQueue()" to private	Store.TotPeopleInQueue()	org.ucdetector.analyzeMarkerVisibilityPrivate	
CustomerSimulator.models.Store.increasMoney(Store.java:195)	Change visibility of Method "Store.increasMoney()" to private	Store.increasMoney()	org.ucdetector.analyzeMarkerVisibilityPrivate	
CustomerSimulator.models.Store.setFreeTime(Store.java:203)	Change visibility of Method "Store.setFreeTime()" to private	Store.setFreeTime()	org.ucdetector.analyzeMarkerVisibilityPrivate	
CustomerSimulator.models.Store.toQueue(Store.java:209)	Change visibility of Method "Store.toQueue(int,double)" to private	Store.toQueue(int,double)	org.ucdetector.analyzeMarkerVisibilityPrivate	
CustomerSimulator.models.Store.removeFromQueue(Store.java:225)	Change visibility of Method "Store.removeFromQueue(int,double)" to private	Store.removeFromQueue(int,double)	org.ucdetector.analyzeMarkerVisibilityPrivate	
CustomerSimulator.models.Store.TotPeopleInQueueTime(Store.java:257)	Change visibility of Method "Store.TotPeopleInQueueTime()" to private	Store.TotPeopleInQueueTime()	org.ucdetector.analyzeMarkerVisibilityPrivate	
CustomerSimulator.models.Customer.<init>(Customer.java:3)	Change visibility of Class "Customer" to default - May cause compile errors!	Customer	org.ucdetector.analyzeMarkerVisibilityDefault	
CustomerSimulator.models.Customer.Customer(Customer.java:9)	Change visibility of Constructor "Customer.Customer(int,Store,boolean)" to private	Customer.Customer(int,Store,boolean)	org.ucdetector.analyzeMarkerVisibilityPrivate	
CustomerSimulator.models.PayQueue.<init>(PayQueue.java:5)	Class "PayQueue" has 0 references	PayQueue	org.ucdetector.analyzeMarkerReference	
CustomerSimulator.views.StoreView.<init>(StoreView.java:8)	Change visibility of Class "StoreView" to default - May cause compile errors!	StoreView	org.ucdetector.analyzeMarkerVisibilityDefault	
CustomerSimulator.views.StoreView.update(StoreView.java:11)	Change visibility of Method "StoreView.update(Observable,Object)" to private	StoreView.update(Observable,Object)	org.ucdetector.analyzeMarkerVisibilityPrivate	
